Rank,Team,Age,W,L,Arena,Attend.,Attend./G
1,Utah Jazz*,28.5,52,20,Vivint Smart Home Arena,151300,4203
2,Los Angeles Clippers*,28.8,47,25,STAPLES Center,13901,386
3,Phoenix Suns*,26.6,51,21,Phoenix Suns Arena,104027,2890
4,Milwaukee Bucks*,28.1,46,26,Fiserv Forum,64780,1799
5,Philadelphia 76ers*,27.1,49,23,Wells Fargo Center,68583,1905
6,Denver Nuggets*,26.1,47,25,Ball Arena,54563,1516
7,Brooklyn Nets*,28.2,48,24,Barclays Center,30491,847
8,Los Angeles Lakers*,28.2,42,30,STAPLES Center,23313,648
9,Dallas Mavericks*,26.3,42,30,American Airlines Center,94849,2635
10,New York Knicks*,25.6,41,31,Madison Square Garden (IV),42131,1170
11,Atlanta Hawks*,25.4,41,31,State Farm Arena,59288,1647
12,Portland Trail Blazers*,27.4,42,30,Moda Center,5817,162
13,Boston Celtics*,25.1,36,36,TD Garden,30067,835
14,Golden State Warriors,26.7,39,33,Chase Center,33457,929
15,Memphis Grizzlies*,24.2,38,34,FedEx Forum,61449,1707
16,Miami Heat*,27.4,40,32,AmericanAirlines Arena,,
17,Indiana Pacers,26.5,34,38,Bankers Life Fieldhouse,,
18,New Orleans Pelicans,24.8,31,41,Smoothie King Center,93120,2587
19,Toronto Raptors,26.6,27,45,Amalie Arena,26024,723
20,Chicago Bulls,25.6,31,41,United Center,13655,379
21,San Antonio Spurs,26.2,33,39,AT&T Center,61053,1696
22,Washington Wizards*,26.6,34,38,Capital One Arena,19198,533
23,Charlotte Hornets,24.6,33,39,Spectrum Center,68255,1896
24,Sacramento Kings,25.6,31,41,Golden 1 Center,,
25,Detroit Pistons,24.5,20,52,Little Caesars Arena,14250,396
26,Minnesota Timberwolves,23.2,23,49,Target Center,15774,438
27,Houston Rockets,26.5,17,55,Toyota Center,117009,3250
28,Cleveland Cavaliers,24,22,50,Quicken Loans Arena,91476,2541
29,Orlando Magic,25.6,21,51,Amway Center,126463,3513
30,Oklahoma City Thunder,22.8,22,50,Chesapeake Energy Arena,,
=,League Average,26.3,,,,49476,1374